model,roc_auc,pr_auc,f1_minority,recall_minority,precision_minority,threshold
XGBoost,0.9531376390349142,0.6823802436665499,0.6236731423993591,0.6288368336025848,0.6185935637663885,0.7493670582771301
XGBoost V2,0.9531843888294957,0.680079836894206,0.6271676300578035,0.6134894991922456,0.6414695945945946,0.8690367937088013
XGBoost + SMOTE,0.9499939918555977,0.6701358170035036,0.6096605744125326,0.565831987075929,0.6608490566037736,0.4261145293712616
Random Forest,0.9464918738336291,0.6266554506898853,0.5873517786561265,0.6001615508885298,0.5750773993808049,0.773513685680535
Logistic Regression,0.9391660488392218,0.5861110849259572,0.5571517801374141,0.5403877221324718,0.5749892565535024,0.87930825676087
LightGBM,0.8079504141195537,0.2169122811676384,0.3042902542372881,0.4640549273021002,0.22635933806146571,0.025460743090387934
